facebook_name,facebook_id,facebook_likes,facebook_talking_about_count,facebook_category,facebook_url
1. FC Köln,107902162570637,733293,23426,Sports Team,https://www.facebook.com/FCKoeln/
1.FC Slovácko,83944296256,22060,773,Sports Team,https://www.facebook.com/fcslovacko.cz/
1.FK Příbram,54211255403,4588,272,Sports Team,https://www.facebook.com/fkpribram/
1. FSV Mainz 05,149265181761871,441248,4597,Sports Team,https://www.facebook.com/1fsvmainz05/
TSG 1899 Hoffenheim,113849728640999,254295,6822,Sports Team,https://www.facebook.com/achtzehn99/
AC Horsens,181794615189199,9012,1652,Sports Team,https://www.facebook.com/achorsens/
A.C. Milan,147054831936,24798551,299853,Sports Team,https://www.facebook.com/ACMilan/
ACF Fiorentina,334348116596391,2064324,6064,Sports Team,https://www.facebook.com/ACFFiorentina/
PoliTimișoara,486185424744345,26512,3225,Sports Team,https://www.facebook.com/ACSPoliTimisoara/
ADO Den Haag,247410255297071,52119,8249,Sports Team,https://www.facebook.com/ADODenHaag/
Αγροτική Σχολή Open Mellon A.E.,214912422032625,2575,1,Education,https://www.facebook.com/openmellon/
AÉK,109043925781722,45606,0,Interest,https://www.facebook.com/pages/A%C3%89K/109043925781722
PAE Iraklísz,292981604097402,23,0,Interest,https://www.facebook.com/pages/PAE-Irakl%C3%ADsz/292981604097402
AFC Ajax,123044724409551,2449732,170453,Sports Team,https://www.facebook.com/afcajax/
AFC Bournemouth,246692125365496,337816,1967,Sports Team,https://www.facebook.com/afcbournemouth/
AIK Shop,173984689466945,5440,0,Sports Club,https://www.facebook.com/pages/AIK-Shop/173984689466945
AO Kerkyra,48422422328,5054,0,Sports Team,https://www.facebook.com/AO-Kerkyra-48422422328/
AS Eupen,93519286571,3383,4,Sports Team,https://www.facebook.com/AS-Eupen-93519286571/
AS MONACO,280398141992271,4389414,212425,Sports Team,https://www.facebook.com/asmonaco/
ASNL- AS Nancy Lorraine,228876913156,148677,3154,Sports Team,https://www.facebook.com/asnancylorraine/
AS Roma,209630315764457,8570298,51675,Sports Club,https://www.facebook.com/officialasroma/
AS SAINT-ÉTIENNE - Les actus RMC.fr,112301643192,22767,270,Media/News Company,https://www.facebook.com/RMCSport.SaintEtienne/
ASA Tirgu Mures Oficial,514990595238821,29704,433,Sports Team,https://www.facebook.com/asatirgumuresoficial/
AZ Alkmaar,128132633925620,82813,4382,Sports Team,https://www.facebook.com/AZAlkmaar/
Aalborg BK,109440569081400,2077,0,Interest,https://www.facebook.com/pages/Aalborg-BK/109440569081400
GF Forsikring,1252596941466451,884,17,Local Business,https://www.facebook.com/gfforsikringaarhus/
Aberdeen FC,113566998654160,31770,0,Sports Club,https://www.facebook.com/pages/Aberdeen-FC/113566998654160
Adanaspor,105555772811829,71627,0,Interest,https://www.facebook.com/pages/Adanaspor/105555772811829
Akhisar Belediyespor,113470468663047,27231,0,Sports Team,https://www.facebook.com/pages/Akhisar-Belediyespor/113470468663047
Alanyaspor,109394669080213,23936,0,Sports Team,https://www.facebook.com/pages/Alanyaspor/109394669080213
Angers SCO,17900277715,169263,2741,Gym/Physical Fitness Center,https://www.facebook.com/AngersSCO/
Antalyaspor,81633970014,34691,30,Sports Team,https://www.facebook.com/Antalyaspor-81633970014/
FC Anzhi Makhachkala,122258894538086,18238,6,Just For Fun,https://www.facebook.com/gozyaslarii/
Arka Gdynia SSA,116007575117050,93261,7028,Sports Club,https://www.facebook.com/ArkaGdyniaSSA/
Arsenal FC - Mirror Football,224789887728258,2401431,81614,Media/News Company,https://www.facebook.com/mirrorfootballarsenal/
FC Arsenal Tula,114736688543022,3322,0,Sports Team,https://www.facebook.com/pages/FC-Arsenal-Tula/114736688543022
Asteras Tripolis F.C.,310315192385933,21290,225,Sports Team,https://www.facebook.com/asterastripolisfc.gr/
Astra Giurgiu,1036659966349920,13275,645,Sports Team,https://www.facebook.com/afcastragiurgiu/
Atalanta Bergamasca Calcio,243735958984792,181829,6446,Sports Team,https://www.facebook.com/atalantabc/
Athletic Bilbao,112519538761016,53662,0,Interest,https://www.facebook.com/pages/Athletic-Bilbao/112519538761016
Atiker Konyaspor,474469712580705,22688,150,Sports Team,https://www.facebook.com/atikerkonyasporluyuz/
Atlético de Madrid,310044472388,13734072,157565,Sports Club,https://www.facebook.com/AtleticodeMadrid/
Π.Α.Ε. Ατρόμητος Αθηνών 1923 - Atromitos F.C. (Official),252890878066283,14366,595,Sports Team,https://www.facebook.com/atromitosfc.Official/
Bécs,111165112241092,543285,0,City,https://www.facebook.com/pages/B%C3%A9cs/111165112241092
BK Häcken - official,325847124305,13392,855,Sports Team,https://www.facebook.com/bkhacken/
Bayer 04 Leverkusen,1022993677794946,2672760,6283,Sports Team,https://www.facebook.com/bayer04leverkusen/
FC Bayern München,822633781141031,41815188,775438,Sports Club,https://www.facebook.com/fcbayern.en/
Beşiktaş,218473211511963,6038536,310481,Sports Team,https://www.facebook.com/Besiktas/
Boavista Futebol Clube,156421014381667,127022,2046,Sports Team,https://www.facebook.com/boavistafc.pt/
Bohemians 1905,103768589661894,14959,0,Football Stadium,https://www.facebook.com/pages/Bohemians-1905/103768589661894
Bologna Fc 1909,249463021839185,474607,6534,Sports Team,https://www.facebook.com/bfc1909official/
Hamburger Sv Und Bor.Mönchengladbach Friendship 4ever,426585464026783,35,0,Community,https://www.facebook.com/HamburgerSvUndBorMonchengladbachFriendship4ever/
Borussia Dortmund,134904013188254,15405444,554931,Sports Club,https://www.facebook.com/BVB/
Brøndby IF,9998305627,149143,20886,Sports Team,https://www.facebook.com/brondby/
Art+Text Budapest,1564822773788542,3620,61,Museum/Art Gallery,https://www.facebook.com/artplustextbudapest/
Vasas SC,344176929115018,608,0,Sports Team,https://www.facebook.com/pages/Vasas-SC/344176929115018
Burnley FC,112524268761444,11529,0,Sports Team,https://www.facebook.com/pages/Burnley-FC/112524268761444
Bursaspor,121557601230960,595681,3365,Sports Team,https://www.facebook.com/bursaspor/
