team_name
1. FC Köln
1. FC Slovácko
1. FK Příbram
1. FSV Mainz 05
1899 Hoffenheim
AC Horsens
AC Milan
ACF Fiorentina
ACS Poli Timişoara
ADO Den Haag
AE Larisa
AEK Athen
AEP Iraklis FC
AFC Ajax
AFC Bournemouth
AIK Solna
AO Kerkyra
AS Eupen
AS Monaco
AS Nancy
AS Roma
AS Saint-Étienne
ASA Târgu Mureş
AZ Alkmaar
Aalborg BK
Aarhus GF
Aberdeen FC
Adanaspor
Akhisar Belediyespor
Alanyaspor
Angers SCO
Antalyaspor
Anzhi Makhachkala
Arka Gdynia
Arsenal FC
Arsenal Tula
Asteras Tripolis
Astra Giurgiu
Atalanta
Athletic Bilbao
Atiker Konyaspor
Atlético Madrid
Atromitos
Austria Wien
BK Häcken
Bayer Leverkusen
Bayern München
Beşiktaş
Boavista
Bohemians 1905
Bologna FC
Bor. Mönchengladbach
Borussia Dortmund
Brøndby IF
Budapest Honvéd
Budapesti Vasas
Burnley FC
Bursaspor
CA Osasuna
CD Alavés
CD Feirense
CD Leganés
CD Nacional
CD Tondela
CFR Cluj
CS Marítimo
CS Universitatea Craiova
CSKA Moskva
CSMS Iaşi
Cagliari Calcio
Celta Vigo
Celtic FC
Chelsea FC
Chernomorets Odessa
Chievo Verona
Cibalia Vinkovci
Club Brugge KV
Concordia Chiajna
Cracovia Kraków
Crystal Palace
DAC Dunajská Streda
Debreceni VSC
Deportivo La Coruña
Dijon FCO
Dinamo Bucureşti
Dinamo Kiev
Dinamo Zagreb
Diósgyöri VTK
Djurgårdens IF
Dnipro Dnipropetrovsk
Dundee FC
EA Guingamp
Eintracht Frankfurt
Empoli FC
Esbjerg fB
Espanyol Barcelona
Everton FC
FC Admira Wacker
FC Aleksandriya
FC Arouca
FC Augsburg
FC Barcelona
FC Botoşani
FC Crotone
FC FASTAV Zlín
FC Groningen
FC Hradec Králové
FC Ingolstadt 04
FC København
FC Lorient
FC Metz
FC Midtjylland
FC Nantes
FC Nordsjælland
FC Porto
FC Schalke 04
FC Twente
FC Ufa
FC Utrecht
FC Viitorul Constanța
FC Voluntari
FC Zbrojovka Brno
FK AS Trenčín
FK Amkar Perm
FK Dukla Praha
FK Jablonec
FK Krasnodar
FK Mladá Boleslav
FK Rostov
FK Senica
FK Stal Kamjanske
FK Teplice
FK Tom Tomsk
FK Ural
Falkenbergs FF
Fenerbahçe
Ferencvárosi TC
Feyenoord
GD Chaves
GD Estoril
GIF Sundsvall
Galatasaray
Gaz Metan Mediaş
Gaziantepspor
Gazovik Orenburg
Gefle IF
Genoa CFC
Gençlerbirliği
Girondins Bordeaux
Go Ahead Eagles
Granada CF
Gyirmot SE
Górnik Łęczna
HNK Rijeka
Hajduk Split
Hamburger SV
Hamilton Academical
Hammarby IF
Heart of Midlothian
Helsingborgs IF
Heracles Almelo
Hertha BSC
Hull City
IF Elfsborg
IFK Göteborg
IFK Norrköping
Inter
Inverness CT
Jagiellonia Białystok
Juventus
Jönköpings Södra IF
KAA Gent
KRC Genk
KV Kortrijk
KV Mechelen
KV Oostende
KVC Westerlo
Kalmar FF
Karabükspor
Karpaty Lviv
Kasımpaşa SK
Kayserispor
Kilmarnock FC
Korona Kielce
Krylia Sovetov
Lazio Roma
Lech Poznań
Lechia Gdańsk
Legia Warszawa
Leicester City
Levadiakos
Lille OSC
Liverpool FC
Lokomotiv Moskva
Lokomotiva Zagreb
Lyngby BK
MFK Karvina
MFK Ružomberok
MFK Zemplin Michalovce
MTK Budapest
Malmö FF
Manchester City
Manchester United
Medipol Başakşehir F.K
Mezõkövesd-Zsóry
Middlesbrough FC
Montpellier HSC
Moreirense FC
Motherwell FC
Málaga CF
MŠK Žilina
NEC Nijmegen
NK Inter Zaprešić
NK Istra 1961
NK Osijek
OGC Nice
Odense BK
Olimpik Donetsk
Olympiakos Piräus
Olympique Lyon
Olympique Marseille
Os Belenenses
Osmanlıspor FK
PAOK Saloniki
PAS Giannina
PEC Zwolle
PSV Eindhoven
Paksi SE
Panathinaikos
Pandurii Târgu Jiu
Panetolikos
Panionios GSS
Paris Saint-Germain
Partick Thistle
Paços de Ferreira
Pescara Calcio
Piast Gliwice
Platanias Chanion
